№,Блогер,Товар,Артикул,Ссылка на типовой сценарий,Хук,Удержание до 15 сек.,Содержание,Триггеры товара для раскрытия,CTA
1,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Я каждый вечер засыпала с открытым ртом и просыпалась как будто после пробежки. Нос не дышал вообще!,"У меня начиналась паника — голова болит, горло дерёт, муж говорит, что я храплю, а я даже не замечаю… Я была уверена, что просто простыла, но врач сказал, что дело в носовой перегородке. Я уже не надеялась задышать свободно, пока не попробовала одну мелочь с Вайлдберриз.","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Устраняет храп, Облегчает заложенность носа, Повышает качество сна, Эффективная фиксация, Не вызывает раздражений","Теперь засыпаю быстрее. Дышу, как будто в горах. Артикул в описании!"
2,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Вот к чему может привести ринопластика! Полгода назад я поняла - когда ты не можешь нормально дышать носом, ты будто живёшь в половину силы.","Я перепробовала всё — ингаляторы, спреи, подушки с эвкалиптом… Даже капала соус чили - надеялась, пробьёт! А решение оказалось куда проще, чем я думала. Очень жаль, что я узнала об этом раньше, чем перепробовала все эти народные методы!","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Водонепроницаемый, Не вызывает раздражений, 4 размера — под любой нос, В коплекте 4 расширителя и 30 пластырей, Повышает качество сна","Кстати, ринопластику я так и не сделала, ведь теперь дышу свободно. Артикулом делюсь в описании!"
3,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Засыпать — сложно. Просыпаться — ещё хуже. Постоянная заложенность просто сводила с ума! Думаете, я про аллергию? Как бы не так!","Я уже пошла к лору, думала, там полипы или ещё что. Прошла десятки осмотров и перепробовала сотни решений, но ничего не помогало. Кот переехал спать в другую комнату, потому что храп мешал ему спать! Но оказалось, причина была на поверхности, и поняла в чем дело я только тогда, когда побробовала эту штуку","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Незаменим в спорте, Водонепроницаемый, Эффективная фиксация, Устраняет храп, Облегчает заложенность носа","Котс спать с намми так и не вернулся, но спим мы теперь крепко! Артикулом делюсь в описании"
4,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Муж показал мне видео, котторое снял, пока я сплю. Такого я, конечно, не ожидала - попросила удалить, но потом передумала. И вот почему","*показываем видео с храпом*
Когда я это увидела, пошла на форумы, почитать, кто сталкивался с такой же проблемой. Особенно напугали ответы в мейл.ру, а им просто нельзя недоверять, ведь простые люди плохого не посоветуют!
В общем, муж мучался полгода, пока его сводная сестра по бабушке не дала ему совет, которым они пользовались еще в детстве. Оказалось, нужно просто знать, что искать на вайлдбериз!","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Повышает качество сна, 15 дней свежего дыхания в одной пачке, Не вызывает раздражений, Эффективная фиксация, 4 размера — под любой нос","Кажется, я впервые за долгое время дышу носом. Артикул ищите под видео!"
5,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Я наконец-то нашла, чем спастись от аллергии! Каждую весну одно и то же: аллергия, насморк, нос не дышит — никакие капли не помогают.","Заложенность мешала не только дышать, но и жить. А потом я нашла решение! Выглядит немного смешно, но результат — как от дорогих капель, которые и то не всегда помогали!","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Облегчает заложенность носа, В коплекте 4 расширителя и 30 пластырей, Водонепроницаемый, Незаменим в спорте, Повышает качество сна",Больше никаких мучений с аллергией. Спасение — в описании!
6,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Сомни-фобия - это когда человек страшно боится спать. Звучит странно, но и такое бывает!","Я боялась засыпать на спине — было ощущение, что язык западает, и я храплю как дедушка… Чтобы не спугнуть мужа, после свадьбы не спала 12 дней. А потом шла по улиице, уронила телефон, и случайно открыла вайлбериз именно на этой странице. И как тут не верить в судьбу?","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Устраняет храп, 4 размера — под любой нос, Не вызывает раздражений, 15 дней свежего дыхания в одной пачке, Эффективная фиксация",Спать я больше не боюсь. Не бойтесь и вы - артикулом делюсь в описании!
7,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Нарезка с Юлией, которая забавно спит и громко храпит","Я и подумать не могла, что я храплю, пока коллега по работе не снял через окно, как я храплю, когда проходил мимо моего дома! И слил это в рабочий чат... Сначала беспокоилась, но потом  захотелось решить проблему. Оказалось, что я просто не дышу ночью нормально. И что только не пробовала, храп не уходил. Дошло до того, что уснула и разбудила директора! И тогда он заказал мне свайлдбериз подарок от компании...","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Водонепроницаемый, Незаменим в спорте, 15 дней свежего дыхания в одной пачке, Эффективная фиксация, В коплекте 4 расширителя и 30 пластырей",Теперь можно спать незаметно даже на работе! Спите и вы - делюсь артикулом в описании!
8,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Работала на удаленке 3 года и любила поспать в рабочее время. Прочитала, что многие компании часто поощряют ночной сон сотрудников.","Но когда вернулась в офис, меня выдал храп и оказалось, моя компания не такая. Оказалось, что дело в анатомии носа. Но я решила не сдаваться и решить проблему с храпом, чтобы спать незаметно и не терять работу из-за каких-то небольших отличий в носовой перегородке.","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Повышает качество сна, Облегчает заложенность носа, Эффективная фиксация, Не вызывает раздражений, Водонепроницаемый",Теперь можно спать незаметно даже на работе! Спите и вы - делюсь артикулом в описании!
9,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Насмотрелась всех этих трендов про бежевых мам, и решила, что я буду мамой-технологиней.","Теперь весь мой дом полон девайсов, которые облегчают жизнь моему техно-бебику. И самый главный из них попался мне совершенно случайно. Я никак не могла найти приспособление, чтобы ему лучше дышалось ночью, ведь простуда и аллергия часто затрудняют дыхание. И вот однажды я нашла это уникальное решение. И это не какой-то спрей или другая непроверенная медицина - здесь работает физика! На вайлдбериз я нашла вот такой расширитель для носа","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Устраняет храп, В коплекте 4 расширителя и 30 пластырей, 15 дней свежего дыхания в одной пачке, 4 размера — под любой нос, Незаменим в спорте",Для других матерей-технологинь артикул оставила в описании.
10,Юлия,Расширитель для носа,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,Постоянный насморк без температуры и признаков простуды. Что это?,"Врач сказал, что это из-за пыли. Поэтому каждый день я убиралась и думала о том, что это все только ради того, чтобы завтра убираться снова. Но потом я подслушала в воспитательницу в детском саду, которая рассказывала детям, что нашла решение этой проблемы, и теперь в детском саду не вытирают пыль уже год, ведь с этим лайфхаком воспитательница перестала чихать. Оказалось, дело всего лишь в находке на вайлдбериз","Далее проводим распаковку расширителя для носа, раскрываем ключевые триггеры","Облегчает заложенность носа, Не вызывает раздражений, Водонепроницаемый, 4 размера — под любой нос, Устраняет храп",Теперь дышу свободно и вообще не вытираю пыль. Артикул забирай под видео!
