№,Блогер,Товар,Артикул,Формат,Содержание,Триггеры товара для раскрытия,CTA,Надпись на обложке
1,Евгения,Наклейки - дезодорант для обуви,,https://youtube.com/shorts/71134dMeCSU?si=qzWzsONqwtee8LJS,"Повторяем сюжет, но своими словами и стикеры-дезодорант для обуви; кадры свои",,Артикул оставила в описании,Шок! В Wildberries перепутали заказ!
2,Евгения,сетка на дверь,,https://youtube.com/shorts/ncaKRNOVo88?si=0Zp97O_ZmND7_x5P,"Повторяем сюжет, но своими словами и под сетку на дверь; кадры свои",,Артикулом делюсь в описании,Предсказзания по хлебу
3,Евгения,сетка на окно,,https://youtube.com/shorts/71134dMeCSU?si=qzWzsONqwtee8LJS,"Повторяем сюжет, но своими словами и под сетку на окно; кадры свои",,ПОоделилась артикулом в описании,Шок! В Wildberries перепутали заказ!
4,Евгения,виброгасители,,https://youtube.com/shorts/SZSyvNcUu44?si=bol1NI-29g90PuKm,"Нужно повторить, но не слово в слово - речь своя с тем же смыслом; свои кадры",,Артикул забирайте в описании,Как избавиться от храпа
5,Евгения,расширители для носа,,"Хук ""видела разные видео с расширителями и решила проверить"" + крупные кадры носов
https://disk.yandex.ru/i/fSn58FkRj40E7w ","Нужно повторить, но не слово в слово - речь своя с тем же смыслом; свои кадры, но крупные кадры носов можно забрать (или найти другие)",,Артикул в описании,Проверяю лайфхак из рилсов
6,Евгения,расширители для носа,,"https://youtube.com/shorts/2SsF5iZRQ0E?si=WXM3tVBvkcm-mCkH
Триггер - аллергия","Нужно повторить, но не слово в слово - речь своя с тем же смыслом; свои кадры",,Артикул оставила в описании,Как избавиться от аллергии
7,Евгения,"Наклейки - дезодорант для обуви, виброгасители, расширители для носа",,Подборка товаров,"Если вы хотите меньше раздражаться по мелочам — обратите внимание на эти три находки с вайлдберриз.
Первое: стикеры-дезодоранты в обувь. Клеите внутрь, они впитывают влагу и убирают бактерии, оставляя лёгкий аромат до нескольких недель. Идеально после пробежки или в офисе: не нужно стирать стельки или пользоваться спреями.
Второе: виброопоры для техники и мебели. Подставляете под ножки стиралки, холодильника или стола — гасите вибрацию, снижаете шум и защищаете пол от царапин. Установка за секунды.
Третье: магнитный расширитель для носа. Мягко вставляется, расширяет носовые ходы, дышать легче на тренировке и ночью. Гипоаллергенный, компактный, подходит всем.",,Артикулом делюсь в описании,ТОП 3 находки с вайлдберриз
8,Евгения,"Сетка на дверь, таблетки для стиральной машины, сетка на окно.",,Подборка товаров,"Если вы часто тренируетесь или много ходите — возьмите на вооружение три находки.
Сначала: арома-стикеры в обувь. Наклеиваете внутрь, и обувь остаётся свежей даже после интенсивных занятий — впитывают пот и нейтрализуют запах, не мешают ходить.
Дальше: виброопоры под стиралку, тренажёр или стол. Стираете форму? Машинка не скачет по полу, тренажёр не гремит, пол не дрожит. Быстро ставятся и защищают пол.
И ещё: расширитель для носа. Во время бега или велотренировки дышится свободнее, усталость приходит позже. Носите удобно, легко моется, помогает и при храпе.
Три простые вещи делают тренировки и быт значительно комфортнее.",,ПОоделилась артикулом в описании,Лучшие находки с вайлдберриз
9,Евгения,коврик,,Старый формат,"[ХУК]
«Я раньше не верила в карму… пока муж не начал мыть посуду. Каждый. День.
Но в какой-то момент я поняла — он делает это слишком счастливо. И слишком быстро.
И когда я спросила, в чём секрет, он засмущался.

Потом — вишенка на торте — выяснилось, что одна очень близкая подруга моего мужа с работы, когда они ездили с ним в командировку, рассказала ему про эту находку на Вайлдберриз.

Ну и, конечно, теперь и я решила проверить, что это за чудо.

[РАСПАКОВКА]
Вот он — тот самый коврик. С виду — обычный, но посмотрите: мягкий, стильный, и самое главное — он впитывает воду!
Больше ни луж, ни мокрого стола, ни вечно грязного полотенца.

Посуда сохнет быстро, ничего не скользит, моется легко — просто под струёй воды.
И да, теперь я тоже счастлива. ",учтены,Артикул забирайте в описании,Как заставить мужа мыть посуду
10,Евгения,сетка на дверь,,Старый формат,"Муж обожает свежий воздух. Говорит, так ему больше нравится - как у соседки дома. И каждое лето начинается одинаково: он открывает дверь на балкон и уходит.
А я? Я потом весь вечер с мухами сражаюсь. На кухне — шмель, в ванной — комар, в зале — мошка, и я посреди всего этого как экзорцист с полотенцем.
Каждый раз прошу: ""Ну сделай ты уже что-нибудь!"" — а он: ""Ну это же просто воздух, что ты начинаешь?"" И опять идет к соседка.
Тогда решила тоже пойти к ней, чтобы узнать, как она борется с комарами - и она подсказала мне эту находку на Вайлдберриз.

[РАСПАКОВКА]
Это москитная сетка на дверь. Лёгкая, устанавливается за 10 минут. Крепится на липучки, ничего сверлить не нужно.

Главное — сама закрывается на магнитах. Открыли, прошли — и она тут же ""слипается"" без щелей.

Теперь у нас в доме свежий воздух, а не зоопарк. Муж счастлив, и я не ловлю осу тапком. Все довольны.»",,Артикул в описании,Открывать окна на ночь или нет?
11,Евгения,сетка на окно,,Старый формат,"Я долго это окладывала, но теперь решила, что с меня хватит.. Каждый год — одно и то же: наступает лето, хочется свежего воздуха, открываешь окно… и через 10 минут вся комната уже жужжит, как мини-аэропорт.

В этом году я решила, что хватит. Хотела слетать куда-нибудь на Мальдивы, но нашла на вайлдберриз решение немного попроще. Купила вот такую москитную сетку — и сразу вам скажу: это одна из тех вещей, о которых думаешь — почему я не купила её раньше?

Сама сетка — лёгкая, но очень плотная. Приятная на ощупь, видно, что не одноразовая. В комплекте всё, что нужно для крепления — никаких сложностей, инструменты не нужны. Я поставила сама, без помощи, минут за пять.

И она совсем не мешает свету или обзору — наоборот, даже создаёт ощущение, что дома чище и свежее.
",,Артикул оставила в описании,"Лучше и дешевле, чем Мальдивы!"
12,Евгения,виброгасители,,Старый формат,"Я просыпаюсь ночью и слышу, как на кухне кто-то хлопнул дверью. Выключаю сериал в голове и иду смотреть. А это — холодильник 
Из-за того, что он постоянно вибрирует, он сместился на пару миллиметров. И дверь не закрылась.

Утром всё, что было на первой полке, испорчено. А на второй полке — детское питание. Тогда мама моего мужа, у которой, кстати, тот же холодильник, но без  тряски — подсказала мне эту находку на Вайлдберриз.

[РАСПАКОВКА]
Это виброопоры. Устанавливаются под ножки холодильника, стиралки, сушилки — всего, что вибрирует. Они гасят все микродвижения, и техника больше не “ползает” и не тарахтит. Сделаны из плотной резины, держат вес, не разваливаются, не скользят. Я поставила их буквально за две минуты — и сразу тишина.

Холодильник стоит как вкопанный.",,Артикулом делюсь в описании,"Как уснуть, если стучит машинка"
13,Евгения,расширители для носа,,Старый формат,"Когда муж сказал, что мы будем тренироваться вместе, я подумала — ну, наконец. Хоть что-то общее.

Но уже на второй неделе он начал дышать в два раза громче, а смотреть в два раза чаще — не на меня.

На коврике рядом появилась Марина. Из бухгалтерии. У неё, как он говорит, “очень правильная техника дыхания”.

А у меня — заложенный нос и сбитый ритм. На третьем подходе я просто начинала задыхаться.

Не знаю, что помогло больше — гнев или желание дышать нормально, но тогда тренер Марины подсказал мне эту находку на Вайлдберриз.

[РАСПАКОВКА]
Это магнитный расширитель для носа.

Вставляется внутрь мягко, не давит, не мешает, но при этом сразу даёт ощущение, что воздух проходит легче.

Особенно заметно на тренировке — дышишь глубже, усталость наступает медленнее, ритм ровный.

Магниты внутри усиливают эффект, и при этом сам расширитель не выпадает даже при прыжках или наклонах.

После недели с ним — я впервые не упала после финального круга.",,ПОоделилась артикулом в описании,Как избавиться от одышки
