№,Блогер,Товар,Формат,Содержание,Триггеры товара для раскрытия,CTA,Надпись на обложке
1,Юлия,Москитная сетка на окно,https://youtube.com/shorts/2oZJLYM6PCQ?si=YR8qieUwSdjdtnmV,"Повторяем формат, но со своими кадрами",Учтены,Учтены,Это должно быть в каждом доме!
2,Юлия,Коврик,https://www.instagram.com/reel/DLWl7-4Mnhv/?utm_source=ig_web_copy_link,"Повторяем формат, но со своими кадрами",Учтены,Учтены,Как спастись от песка в прихожей
3,Юлия,Коврик,https://www.tiktok.com/@maria_pro.wb/video/7520651967970954518,Повторяем свой формат,Учтены,Учтены,Лужи на кухне? Это поможет!
4,Юлия,Коврик,https://youtube.com/shorts/hI1rElkJtbQ?si=xjvOLox0cQ8zK5cD,"Повторяем свой формат, но вместо ""Июнь выдался дождливым"", говорим ""Лето выдалось дождливым""",Учтены,Учтены,Грязь в прихожей после дождя? Поможет ЭТО!
5,Юлия,Расширители для носа,https://youtube.com/shorts/-7CtYAvHG0M?si=sZh_iwYOOgQOA3Z3,"Повторяем формат, но со своими кадрами. Первый триггер важно оставить тем же",Учтены,Учтены,Как не сбить дыхание НА МАРАФОНЕ
6,Юлия,Расширители для носа,https://vk.com/clip-230775072_456239066,"Повторяем формат, но со своими кадрами",Учтены,Учтены,Покупать ли ребенку АЙФОН?
7,Юлия,Сетка на дверь,Старый формат,"А вы знали, почему этом году такое ужасное лето? То дожди, то холода по ночам... Я надела пуховик в июле, открыла балкон — и влетел комар размером с голубя.

Неделю сидели на даче, дожди со всех сторон. В майке холодно, в куртке жарко.
Всё в доме сырое, носки не сушатся, на полу вода.
Решила проветрить, открыла дверь на балкон — моментально залетели комары, мошки, какие-то жуки.
Один укусил в палец на ноге сквозь носок, второй — в лоб.
Поставила фумигатор — вздулся провод, сгорел автомат.
Вызвала электрика, и он посоветовал мне вот такую находку на вайлдберриз, которая должна помочь с комарами.","""Мягкое закрытие
Плотно прилегает по периметру
Не вызывает дискомфорта при контакте
Эффективна даже в сумерках
Выдерживает частое открытие""",Артикулом поделилась в комментариях!,Почему такое холодное лето?
8,Юлия,Сетка на окно,Старый формат,"Недавно у нас в Петербурге было наводнение. Нева поднялась на 2 метра!
Живу на первом этаже, открыла окно, и в дом полилась река, корюшка, вместе с всем этим - комары!
Открыла на микропроветривание — ветром едва не выломало окно, и снова залетели комары!
Закрыла окно — поняла, что опоздала. Дома уомаров уже рой.
Включила электрофумигатор — он плавится.
Решила написать синоптикам, чтобы срочно переписали прогноз погоды. Они предупреждали о наводнении, и, очевидно, накаркали. И вот они-то подсказали мне эту находку с вайлдберриз!","Не занимает место на двери
Можно использовать круглый год
Не греется от солнца
Не влияет на климат в помещении
Создает ощущение свободы",Артикулом делюсь в комментариях!,Ужас! Наводнение в Петербурге!
9,Юлия,"Наклейки - дезодорант для обуви, расширители для носа, таблетки для стиральной машины, ",Подборка товаров,"3 товара с вайлдберриз, которые я беру не в первый раз.

Первое — аромастикеры в обувь.
Формат — тонкая пластина с клеевым слоем.
Нейтрализует запах, не просто перебивает.
Подходит даже для мужской обуви с плотной посадкой.
Держится до двух недель, потом можно заменить.

Второе — расширитель для носа с магнитами.
Это не лекарство и не капли, просто физически помогает дышать.
Подходит для сна — снимает храп.
Для спорта — увеличивает приток воздуха.
Для аллергиков — снижает ощущение заложенности.
Материал мягкий, быстро адаптируется к форме носа.

Третье — очистительные таблетки для стиралки.
Использую раз в месяц — очищает внутренности барабана.
Убирает запах, помогает стирать бельё без постороннего аромата.
Плюс — защищает от накипи и продлевает срок службы машинки.

Артикулы оставила в комментариях.",Учтены,Учтены,Не потеряй эти находки с WB!
10,Юлия,"Сетка на дверь, виброгасители, сетка на окно.",Подборка товаров,"Вот три вещи с вайлдберриз, которые реально нужны летом.

Первое — антимоскитная дверь-сетка.
Формат — две створки с магнитами посередине.
Устанавливается за 5 минут, снимается без следов.
Не мешает движению, при этом защищает от насекомых.

Второе — виброгасители для техники.
Снижают шум от стиралки, особенно если у вас старый пол.
Подходят под стиралку, холодильник, ПММ, даже под ножки кровати.
Плотная резина, амортизация на уровне.
Хорошо держатся даже на плитке.

Третье — сетка на окно.
Крепится на самоклеящуюся ленту, идёт в комплекте.
Можно снимать и мыть.
Формат универсальный, подходит под стандартные и нестандартные рамы.

Артикулы оставила в комментариях.",Учтены,Учтены,Сохрани эти находки для дома!
