Ясно ,,,,Локации
анимация ,"Скачиваем продающую анимацию ЯСНО и заливаем в закреп на профили, чтобы конвертила",,,
короткие роли и общие проблемы/боли и подводим к Ясно ,1.Выгорание,"Я ударилась лбом о клавиатуру на работе. Сначала тихо, как бы проверяя: почувствую ли я что-то. Потом сильнее — уже по-настоящему. Никто не отреагировал. Спустя полминуты мой руководитель зашёл в комнату, посмотрел на меня, лежащую на клавиатуре, и сказал: «Важное письмо пришло, когда прочтёшь — подтверди прочтение». Я кивнула, не поднимая головы с клавиш. Мне было спокойно. Я поняла, что душа моя истончается, как дешёвая офисная бумага. На следующий день я записалась к психологу в Ясно. Уже после пары сессий поняла - снова могу держать себя в вертикальном положении. Кстати, там мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!","нарезка из стоков - Кирилл и Сережа, если снимаем - Полина и Алина. Снимать контент по принципу - место/действие
1 универсальные кадры связ. с офисной темой, все, что возможно делать в офисе
2 специфический (бьется головой о клаву)- можно найти на стоке, или снять

Выписать локации и выбрать действия 

Озвучка: можно записать с телефона под одеялом, можно проработать текст с точки зрения логических ударений, пауз - не приоритет 

Озвучка пополам

Типажи: очень экспрессивные блогеры и монотонные/спокойные (для жести), интонация вверх ","офис
дом
разговор с психологом
упала на клавиатуру"
,2.Синдром самозванки,"Когда мне повысили зарплату, я три дня пряталась в туалете и съедала свой обед там, в одиночестве. Я была уверена: если кто-то увидит меня с салатом за 450 рублей, меня раскроют. Уволят. Может быть, даже посадят. Я заходила в бухгалтерию как в исповедальню, ожидая, что мне скажут: «Мы ошиблись, это не ваше». Никто не говорил. Тогда я пошла в Ясно. Сейчас я всё ещё боюсь тратить деньги на доставку, но уже могу спокойно пить латте в помещении при свидетелях. Кстати, там мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!",,"офис
туалет в офисе
бухгалтерия
разговор с психологом"
,3.Абсурдная корпоративная культура,"У нас в офисе начали хлопать каждый раз, когда кто-то говорил «давайте созвонимся». Это была новая инициатива — «теплая среда». Мне казалось, я попала в секту с офисным дресс-кодом. В пятницу я принесла торт в честь своего дня рождения, а коллеги выложили его в чат и подписали: «Научилась делиться — гордимся». Тогда я ушла в уборную и смотрела в зеркало, пока глаза не начали дергаться. В Ясно я пришла с вопросом: как понять, где заканчивается работа и начинается абсурд. Учусь держать границу, и вам советую. Кстати, там мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,"офис
рабочий созвон
кухня
туалет в офисе
расговор с психологом"
,4.Страх уволиться,"_Я работала в компании, где вместо отпуска давали футболку с надписью «Ты — молодец». Мне казалось, это норма. В какой-то момент мне разрешили поработать из дома — и я поняла, что за весь день ни разу не заплакала. Это стало откровением. Но я не могла уйти — ведь кто я без календаря с корпоративными мотивашками? На седьмой год работы я проснулась ночью и услышала, как мой внутренний голос шепчет: «Это не жизнь, а прикол». Наутро я пошла в Ясно, еще через пару дней уволилась."" Кстати, там мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,"офис
разговор с психологом
дома"
,5.Страх уволиться,"На работе вместо зарплаты подарили ветку. Даже тогда мне казалось, это нормальное руководство и коллектив. В какой-то момент заболела, и мне мне разрешили поработать из дома — и я поняла, что за весь день ни разу не заплакала. Это стало откровением. Но я не могла уйти — ведь кто я без календаря с корпоративными мотивашками? На седьмой год работы я проснулась ночью и услышала, как мой внутренний голос шепчет: «Это не жизнь, а прикол». Наутро я пошла в Ясно. Уже спустя пару дней поговорила с начальством и выбила нормальную ЗП. Кстати, там мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,"разговор с психологом
офис
ветка
дом"
,6.Потеря смысла,"_На очередном созвоне поняла, что большую часть работы в моей компании мы делаем  потому, что нужно что-то делать. Скаазала об этом - все засмеялись, а потом записали мою мысль в протокол. Я попыталась объяснить, что пошутила, но руководитель сказал: «Хорошо, тогда ты и будешь вести проект». Так у нас теперь становятся руководителями. Я писала письма, полные воды, и ставила задачи, в которых не было цели. От бессмыссленности того, чем я занимаюсь, решила пойти к психологу в ЯСНО. Он сказал, что работать в такой бессмыслице это всё же не стратегия - и как было важно это услышать!. Сейчас я работаю меньше, а живу — чуть больше.   Кстати, там мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,
,7.Разрыв и отказ принять его,"Когда от меня уходил бывший, оставил открытку с надписью «будь сильной». Это вообще что? Через два дня я нашла в холодильнике кастрюлю борща. При этом он знал, что я не люблю свёклу! Но я всё равно ела его, как будто в этом борще осталась последняя надежда. Потом я начала отвечать ему в голове. Писала воображаемые письма. Иногда довольно грубые. Иногда со стихами. А потом поняла: так больше нельзя. Я пошла в Ясно. Сейчас я варю борщ сама, при чем вместо свеклы кладу лук - очень вкусно!   Кстати, там мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,"кухня
холодильник
кастрюля в холодильнике"
,8.Навязчивое желание вернуть бывшего,"Ночью я написала маме бывшего: «Наталья Павловна, здравствуйте. Как ваши фикусы?» Я искренне хотела знать. На самом деле — хотела, чтобы он увидел. Он не увидел. На следующий день я создала поддельную страницу и лайкнула фото с его кошкой. Кошка умерла в 2021 году. Тогда я поняла, что моё горе превратилось в искусство сталкинга. Я записалась в Ясно. Сейчас я не пишу умершим кошкам. Только живым людям.  Кстати, там мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,экран телефона - переписка
,9.Токсичные отношения,"Бывший говорил, что я слишком чувствительная. Слишком громко смеюсь. Слишком долго выбираю йогурт. Однажды я извинилась за то, что чихнула в метро, потому что он сказал: «Это звучало пиздец как вызывающе». Я начала записывать все свои разговоры, чтобы понять, где я перегибаю. Прослушала — не нашла. Пошла к психологу в Ясно - узнала неочевидную вещь: дело-то в парне! Год как расстались, чихаю как захочу! ""  Кстати, там мне дали промокод на скидку 20% на первую сессию - делюсь им в шапке профиля!""",,"чих в метро
магазин выбоираем йогурт"
