№,Блогер,Товар,Формат,Содержание,Триггеры товара для раскрытия,CTA,Надпись на обложке
1,Юлия @shipulya78,Наклейки - дезодорант для обуви,https://www.tiktok.com/@wb.with.olga/video/7516821499861323030,"Повторяем формат, но для другого товара - наклейки-дезодорант для обуви",,,Не ожидала такого от Смешариков
2,Юлия @shipulya79,Наклейки - дезодорант для обуви,https://www.tiktok.com/@obzor.by.nastya/video/7513998164270091542,"Повторяем формат, но немного меняем речь (своими словами)",,,Избавляемся от запаха в кроссовках!
3,Юлия @shipulya80,сетка на окно,https://youtube.com/shorts/2oZJLYM6PCQ?si=c9moJd0u6DkwDuHo,"Повторяем формат, но немного меняем речь (своими словами)",,,Лучшее средство вместо фумигатора
4,Юлия @shipulya81,расширители для носа,https://www.tiktok.com/@.wb692/video/7518482012202700054,"Повторяем формат, но немного меняем речь (своими словами)",,,Что скрывают пластические хирурги
5,Юлия @shipulya82,расширители для носа,https://www.tiktok.com/@.wb692/video/7518482012202700054,"Повторяем формат, но немного меняем речь (своими словами)",,,Вместо ринопластики попробуй это!
6,Юлия @shipulya83,коврик,https://youtube.com/shorts/gO8LRl2hRXo?si=Ik8blPk_jPkZ_wPf,"Повторяем формат, но немного меняем речь (своими словами)",,,Ванная похожа на логова ШРЕКА
7,Юлия @shipulya84,"Наклейки - дезодорант для обуви, расширители для носа, таблетки для стиральной машины, ",Подборка товаров,"Моя тройка находок, которые решают реальные бытовые проблемы.

Первое — дезодоранты-наклейки для обуви.
Они работают не как освежитель, а как нейтрализатор запаха.
Наклейки вклеиваются прямо в стельку, не ощущаются при ходьбе, и подходят даже для закрытой обуви.
Аромат мягкий, не химозный, сохраняется долго. Подходят для повседневной и спортивной обуви.

Второе — магнитные расширители для носа.
Увеличивают проходимость воздуха через нос, за счёт мягкого механического расширения крыльев.
Подходят для сна, спорта, носки днём.
Носить удобно, материал гипоаллергенный, легко чистятся.
Особенно помогает при храпе или плохом дыхании.

Третье — таблетки для чистки стиральной машины.
Закидываются прямо в барабан, цикл — без белья.
Пенятся, очищают стенки барабана, фильтры, внутренние части.
Устраняют запах, налёт, накипь и остатки порошков.
После первой чистки — запах из машинки уходит полностью.

Артикулы оставила в комментариях.",Учтены,,Три САМЫХ ЛУЧШИХ находки с WB
8,Юлия @shipulya85,"Сетка на дверь, виброгасители, сетка на окно.",Подборка товаров,"Три находки для лета, которые реально упрощают жизнь.

Первое — москитная сетка на дверь.
Магнитная, крепится без инструментов.
Закрывается сама после прохода — удобно, если заняты руки.
Не пропускает комаров, мошек, мух.
Подходит для дачи, дома, даже балконной двери.

Второе — виброопоры под технику.
Устанавливаются под ножки стиралки, холодильника, мебели.
Снижают вибрацию, устраняют грохот при отжиме.
Плотно фиксируются, не двигаются.
Плюс — защищают пол от вмятин и сколов.

Третье — москитная сетка на окно.
Фиксируется на липучке.
Можно подрезать под нужный размер.
Не мешает открывать и закрывать окна.
Прочная, многоразовая, легко моется.

Артикулы — в комментариях.",Учтены,,Самые практичные находки с Wildberries!
9,Юлия @shipulya86,Стикеры-дезодорант для обуви,Старый формат,"Пошла в магазин и на первом этаже учуяла этот затхлый запах — смесь мокрой шерсти и старой солонки. Думала, где-то капает с трубы. Потом — второй день подряд он же. Третий — уже сильнее. Я говорю мужу: «Соседи, видимо, ремонт затеяли». А он: «Ага» — и снимает кроссовки прямо у двери. Я носком их толкнула — запах пошёл как пар из чайника. Тут же забежала соседка и с порога спрашивает: «Это у вас тут воняет или у нас?» Понятное дело, тчо у нас! Тут она и рассказала про свою находку на вайлдбериз, которая спасла ее от вони от кроссовок своего мужа - а он старый дед!",Учтены,,Ботинки пахнут сыростью - что делать?
10,Юлия @shipulya87,сетка на дверь,Старый формат,"Пчела застряла в коже! Расскажу, что делать. Жарко. Я открываю дверь настежь, варю суп. Сын —играет в комнате, и вдруг Возвращается — и орёт. Я думаю: упал. Начинаю раздевать — а у него под футболкой жужжит ПЧЕЛА. Оказалось, пчела залетела, ужалила и застряла, а он боится снимать. Мы с соседкой держим его, она пинцетом достаёт жужжалку. Через день у него на руке волдырь, как яйцо перепелиное. А вечером соседка мне такая: «Знаешь, мы после той истории заказали кое-что на вайлдберриз…","Создают ощущение свежести при каждом надевании — будто только из магазина.

Помогают не стесняться снимать обувь в гостях — уверенность при любой ситуации.

Не портят обувь и стельки — не оставляют следов, не вызывают деформации.

Устраняют «залежалый» запах из старой обуви — работают даже в сезонной, долго стоявшей паре.

Идеальны для подарка — забота, которая не кажется банальной.",Артикулом делюсь в комментариях.,Как спастись от пчел летом
